<S> w a n d e r e,wandered
<S> c,comfort
<S> r,raised
<S> t a p e,taped
<S> h,he
<S> u s h e r e,ushered
<S> s,saved
<S> s,skyward
<S> b,britain
<S> s t u d,student
<S> f,friends
<S> w,woken
<S> b,blankly
<S> p e,peace
<S> i,imagining
<S> v i o l e n t,violently
<S> e,emptying
<S> s,speck
<S> b u,bunches
<S> o,others
<S> o,on
<S> p,pucey
<S> s,studying
<S> s,sagged
<S> g,gulpin'
<S> m,maple
<S> b,bonus
<S> m o,moan
<S> t,twins
<S> m a n a g,managed
<S> h,hmmm
<S> m a,marcus
<S> f,frozen
<S> o,oliver's
<S> d a s h i,dashing
<S> l,lean
<S> a,alive
<S> g,good
<S> r,remains
<S> i,irongray
<S> b a r r,barrier
<S> v a,value
<S> c h,cheer
<S> b,book
<S> d a r k,darkness
<S> p,polkiss
<S> l,laugh
<S> s t r a,straightened
<S> y,youknowwho's
<S> p o t t e r ',potter's
<S> t,thoughts
<S> i,immediately
<S> t,throw
<S> s,stare
<S> c o n f u,confusion
<S> r,read
<S> s,steeling
<S> a r c,arching
<S> f o r g o t,forgotten
<S> l,lamp
<S> l,lion
<S> s,subtle
<S> w h y,why's
<S> f,flailing
<S> c,clung
<S> d,didn't
<S> p,pocket
<S> f l a,flat
<S> i,importantly
<S> i,it's
<S> n i g h,night
<S> e r i,erised
<S> p e,penalty
<S> h a,halfpast
<S> n e v,never
<S> g,grindelwald
<S> l,looking
<S> c h u c,chuckled
<S> j e,jet
<S> r,ruddy
<S> d,dog's
<S> z,zoo
<S> m,moving
<S> b,bacon
<S> p,pounced
<S> p,potion
<S> d i v,dived
<S> a n n o,annoying
<S> t,tried
<S> h,harbor
<S> a,answered
<S> w i n n i n,winning
<S> f,faded
<S> s k i e,skies
<S> s c r,scream
<S> j,jerk
<S> p,pewter
<S> d i,did
<S> h,he
<S> h o,hog's
<S> s,slippery
<S> w,weird
<S> s,smash
<S> p,profit
<S> f,fame
<S> g,git
<S> m,mended
<S> b,break
<S> g,ggetting
<S> t a p,tapped
<S> s,stomach
<S> m o a,moan
<S> y,youknowwhat
<S> u,uproar
<S> s w i s h i n,swishing
<S> i,ingredients
<S> s k i m m i,skimming
<S> s,sports
<S> d,date
<S> s p r o,sprouts
<S> s,supple
<S> p,plays
<S> w,we've
<S> c,cantered
<S> u,upward
<S> a n,anyone
<S> l o n g,longer
<S> b,backs
<S> w,walked
<S> h u r,hurried
<S> s ' p o,s'pose
<S> h o a r s,hoarse
<S> f,furor
<S> c a l,calmly
<S> p,pouring
<S> h,helped
<S> n,note
<S> s,smudged
<S> b,being
<S> g,galleons
<S> n,nasty
<S> g r i p h,griphook
<S> s,sheared
<S> s c a b,scabbets
<S> a,afraid
<S> f l a m,flamel
<S> b,backward
<S> r,refuse
<S> b o t t l,bottle
<S> n o,noble
<S> c,chained
<S> w,wins
<S> w a,walked
<S> g,golden
<S> f,flight
<S> s c r a m b l e,scrambled
<S> u,used
<S> c r o,croaked
<S> e,excitedly
<S> c,checkmate
<S> w,why'd
<S> a,amber
<S> c u r s,cursed
<S> d,directions
<S> w,wouldn'
<S> s p e c t a c l e,spectacles
<S> s p,sports
<S> m,may
<S> s,seal
<S> g,goblets
<S> s,shelling
<S> c,cats
<S> p,partner
<S> i,invisibility
<S> s,swap
<S> b,bedspread
<S> g,glad
<S> b,baron
<S> p,pleased
<S> b r,bring
<S> v,vcr
<S> r,reward
<S> w,will
<S> f,fabulous
<S> e n j o y i,enjoying
<S> g r,grinding
<S> b,boogers
<S> d,doi
<S> g,gulped
<S> y,yelling
<S> ','nmat
<S> s,sit
<S> v,vast
<S> f,fiftytwo
<S> b,breathlessly
<S> o,opposite
<S> i n f,inferno
<S> b,bell
<S> d a w n e,dawned
<S> m e s e l,meself
<S> c r,crockford
<S> w i n d o w s i,windowsill
<S> h,hush
<S> f,front
<S> t,transfiguration
<S> w h o,who'd
<S> m,mother
<S> a,adventure
<S> w,with
<S> v,vernon
<S> e,eleven
<S> o,oddly
<S> s l o w e,slowed
<S> r,reached
<S> j,joking
<S> r,ruffled
<S> s l,slope
<S> t,tights
<S> t,they'll
<S> b o,boogers
<S> c h e,cheer
<S> b l o,blotts
<S> m e,mention
<S> f,forevermore
<S> w,warn
<S> s,spotted
<S> o ' c,o'clock
<S> s n a r l,snarled
<S> b,brandished
<S> y,young
<S> s e e m e,seemed
<S> f l a,flatten
<S> q,quicker
<S> l,lunged
<S> b a t,bated
<S> h a p p e n,happens
<S> t,teacher's
<S> b,baked
<S> s,slamming
<S> t r e,trevor
<S> s,stiffly
<S> h,hermione
<S> o,oooooh
<S> y,yesterday
<S> h,howled
<S> p,play
<S> i n s i s t e,insisted
<S> f r,freezing
<S> e x p l a,explained
<S> c,compartments
<S> k,keyhole
<S> n,neville
<S> c,chuckling
<S> e,exercise
<S> h,has
<S> h,hopefully
<S> f,fireworks
<S> g,grim
<S> i n f e,inferno
<S> h,hebridean
<S> y,ye'
<S> y,yehve
<S> s,steep
<S> m o r,morning
<S> c h,choose
<S> s,sternly
<S> p,pointing
<S> n o n e x,nonexplodable
<S> p u r p l e,purplefaced
<S> g,gown
<S> a l,alley
<S> r,referees
<S> p,percy'd
<S> s h a c,shack
<S> s w o o,swooped
<S> t h r,threshold
<S> t,tantrum
<S> l,law
<S> h,headmistress
<S> s,swung
<S> c u r s e,cursed
<S> s,straightening
<S> b,bad
<S> h e,headmistress
<S> p,protect
<S> j,jus'
<S> r,rage
<S> c,cliff
<S> p,pigtails
<S> p,piled
<S> b,bear
<S> j,jinx
<S> s,suits
<S> e,elixir
<S> s,snigget
<S> g a s,gasp
<S> d e t,detentions
<S> r o a r,roars
<S> t,telephone
<S> c,considered
<S> b u s i n,business
<S> b,bit
<S> s,snare
<S> g r i p,griphook
<S> ','there's
<S> o,others
<S> b,blazing
<S> k,kettle
<S> d e,dense
<S> r,ron's
<S> u,usual
<S> f,finds
<S> f,fat
<S> b r i g,bright
<S> p r e f,prefer
<S> a h,ahem
<S> n a,nasty
<S> m,might
<S> l,late
<S> c,chapter
<S> b,blocked
<S> e,eagerly
<S> b e h,behind
<S> b,beyond
<S> b,beasts
<S> b,broken
<S> p,people's
<S> s,state
<S> s,slay
<S> b u i l,building
<S> v,voice
<S> s,snatch
<S> u,unraveled
<S> o,ordinary
<S> s,seek
<S> k,keep
<S> b,beast
<S> w,witches
<S> d,disappear
<S> l o n g i,longingly
<S> s,saliva
<S> r,recited
<S> g u,guess
<S> s,same
<S> w a l k i n,walking
<S> t,that'll
<S> i n,ingredients
<S> t,teddy
<S> d a,dawn
<S> l,leave
<S> d,different
<S> l,lot
<S> p,punching
<S> s,sounding
<S> o,oh
<S> s,st
<S> ','til
<S> c,cccan't
<S> s,save
<S> i d,identical
<S> c,cards
<S> a,able
<S> u n,unraveled
<S> s,scales
<S> w,warning
<S> p,package
<S> c,crabbe
<S> t r e v,trevor
<S> c o n c e,concerned
<S> d,dodged
<S> n,norbert
<S> i,it'
<S> s n e,sneer
<S> c,cryin'
<S> k,kept
<S> t,tufts
<S> e,exciting
<S> z o,zoo
<S> g r o,grown
<S> g,gotten
<S> s h a b,shabby
<S> m o a n,moans
<S> b,bothered
<S> p,pence
<S> w,wood's
<S> s,symbols
<S> f,fluttered
<S> l o s i n,losing
<S> f,floated
<S> c,caution
<S> s,still
<S> w,won
<S> l e a n,leaned
<S> k,knot
<S> r o c k e,rocker
<S> s,spoils
<S> r e,read
<S> t,teaching
<S> m,mouth
<S> b,books
<S> f,folded
